"번호","주제분류","문화시설명","주소","자치구","위도","경도","전화번호","팩스번호","홈페이지","관람시간","관람료","휴관일","개관일자","객석수","대표이미지","기타사항","시설소개","무료구분","지하철","버스정거장","YELLOW","GREEN","BLUE","RED","공항버스"
"1","기타","DDP(동대문디자인플라자)","서울특별시 중구 을지로 281","중구","37.56735731522952","127.00977973484339","02-2153-0000","02-2153-0010","http://www.ddp.or.kr","","","1월 1일 / 설날 / 추석 당일 * 공간별 상이","","","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=04ae3506f18f4fb39a8553095364f973&thumb=Y","","<h5 class='tit_chapter' style='text-align: center; padding: 0px; margin: 0px 0px 20px;' arial,='' vernade,='' 돋움,='' dotum,='' noto='' kr?,='' sans-serif;?='' sans=''><span style='font-size: 18pt;'>‘Amazing! Tomorrow’DDP(동대문디자인플라자)에 오신 것을 환영합니다.</span></h5><h5 class='tit_chapter' style='padding: 0px; margin: 0px 0px 20px;' arial,='' vernade,='' 돋움,='' dotum,='' noto='' kr?,='' sans-serif;?='' sans=''><span style='font-size: 18px; font-weight: 300;'>DDP는 대한민국 서울특별시 동대문역사문화공원역에 위치한 복합 문화 공간입니다. 2014년 3월 21일 개관한 이래 DDP에서는 각종 전시, 패션쇼, 신제품발표회, 포럼, 컨퍼런스 등 다양한 문화 행사가 진행되어 왔습니다. DDP는 디자인 트렌드가 시작되고 문화가 교류하는 장소입니다. 세계 최초 신제품과 패션 트렌드를 알리고, 새로운 전시를 통해 지식을 공유하며, 다양한 디자인 체험이 가능한 콘텐츠로 운영됩니다. 이러한 활동을 통해 DDP는 아시아로, 세계로 향하는 ‘디자인?패션산업의 발신지’의 역할을 할 것입니다.</span></h5><div><span style='font-size: 18px;'><b>개관 이후 DDP는</b></span><br></div><div><div style=''><span style='font-size: 18px;'>1. 연간 천만명 이상이 방문하는 <b>서울의 디자인 성지</b></span></div><div style=''><span style='font-size: 18px;'>- 2018년 이후 연간 천만명 이상 방문, 일평균 3만명</span></div><div style=''><span style='font-size: 18px;'>2. 뉴욕타임스 선정 <b>'꼭 가봐야 할 세계 명소'</b></span></div><div style=''><span style='font-size: 18px;'>- 한국관광공사 선정 한국관광지 100선, LA타임스 '서울의 대표 관광지'</span></div><div style=''><span style='font-size: 18px;'>3. 여성 최초 프리츠커 건축상 수상 <b>자하 하디드의 유작</b></span></div><div style=''><span style='font-size: 18px;'>- 칼 라거펠트, 알레산드로 멘디니, 장 폴고티에 등 세계적 디자인명사들의 사랑을 받은 공간</span></div><div style=''><span style='font-size: 18px;'>4. <b>매년 100건 이상의 전시, 행사 개최</b></span></div><div style=''><span style='font-size: 18px;'>- 샤넬, 루이비통 등 명품 브랜드가 예술 활동을 벌이는공간</span></div><div style=''><span style='font-size: 18px;'>- BMW, 벤츠 등 신차 런칭 발표의 주요 공간</span></div><div style=''><span style='font-size: 18px;'>5. <b>동대문상권과의 상생을 위한 끊임없는 노력과 변신</b></span></div><div style=''><span style='font-size: 18px;'>- 동대문 지역과 콜라보한 행사와 상품 지속개발</span></div><div style=''><span style='font-size: 18px;'>- 개관 이후 지하철 유동인구 12% 이상 상승(서울교통공사)</span></div><div style=''><span style='font-size: 18px;'><br></span></div><div style=''><span style='font-size: 18px;'><b>DDP 베스트 플레이스</b></span></div><div style=''><span style='font-size: 18px;'><b>1. DDP 뮤지엄</b> :&nbsp;</span><span style='font-size: 18px;'>디자인 가치를 전 세계에 알리는 구심점</span></div><div style=''><span style='font-size: 18px;'>DDP 뮤지엄이 ‘서울특별시 등록 미술관 제29020-01호’ 1종 공립미술관으로 등록되었습니다.</span></div><div style=''><span style='font-size: 18px;'>이번 공립미술관 등록은 대한민국 유일의 공립 디자인 뮤지엄으로서 서울의 디자인 가치를 발굴, 연구, 전시해 국내 디자인 영역을 확장하고 동시대 글로벌 디자인 콘텐츠를 선보이며 DDP가 창조 자원의 발신지로 자리하는 주요한 변곡점이 될 것입니다.</span></div><div style=''><span style='font-size: 18px;'><b>2. 디자인 쇼룸, 디자인홀</b> :&nbsp;</span><span style='font-size: 18px;'>예술과 기술로 하나되는 스페이스 DDP 45133</span></div><div style=''><span style='font-size: 18px;'>동대문이 지닌 역사적?문화적?사회적?경제적 토대 위에 새로운 미래적 가치와 비전을 더한 새로운 시도를 시민과 함께 만듭니다.&nbsp;</span><span style='font-size: 18px;'>DDP를 둘러싼 총 45,133개의 알루미늄 패널이 저마다 다른 모습을 하는 것은 마치 우주를 구성하는 모든 존재의 다양성과 유사합니다. 그리고, 이런 다양성과 조화는 시각적, 공간적 아름다움 뿐만 아니라, 똑같은 존재가 단 하나도 없는 우리 인간과 같은 구성원들이 만들어내는 거대한 우주를 닮았습니다.</span></div><div style=''><span style='font-size: 18px;'>서로 다른 다양성과 그 조화를 통해 만들어내는 우주는 바로 DDP 45133이 추구하고자 하는 새로운 공간이며 지향하는 가치입니다.&nbsp;</span><span style='font-size: 18px;'>모든 존재가 어우러져 하나의 우주(Space)를 구성하듯 함께 참여하여 만들어가는 디지털 스페이스 DDP 45133 DDP 45133 NFT 전시는 DDP 온?오프라인 융합으로 예술과 기술로 하나되는 스페이스입니다.</span></div><div style=''><span style='font-size: 18px;'>첫 시작을 DDP의 철학이 담긴 고 자하하디드의 작품으로 시작합니다. (전시기간: '23.12.21.~'24.11.30.)</span></div><div style=''><span style='font-size: 18px;'><b>3. DDP디자인스토어</b> :&nbsp;</span><span style='font-size: 18px;'>더 나은 서울 생활의 품격과 일상을 위한 곳</span></div><div style=''><span style='font-size: 18px;'>서울디자인재단에서 운영하는 DDP디자인스토어는 우수한 디자인 상품을 발굴하고, 온?오프라인 플랫폼을 통해서 디자이너들에게 마케팅과 홍보를 지원하는 사업입니다.서울 디자인의 우수성 확산 및 DDP디자인스토어 브랜드의 국제적 인지도 확립을 위해 서울 라이프스타일의 가치를 재발견하고 디자인을 통한 정체성을 확립하고 있습니다.</span></div><div style=''><span style='font-size: 18px;'><b>4. 서울-온</b> :&nbsp;</span><span style='font-size: 18px;'>비대면 행사를 위한 공간</span></div><div style=''><span style='font-size: 18px;'>서울-온은 코로나19 장기화로 증가한 화상회의 및 비대면 행사를 위한 공간입니다. 초대형 디스플레이와 고해상도 영상장비, 최신 음향？조명 설비를 갖추고 있으며 부속시설로 일반대기실, VIP대기실, 라커룸, 통역실, 조정실, 라운지가 있습니다. 화상회의뿐만 아니라 토크쇼, 포럼, 강연 등 다양한 형태의 온?오프라인 행사를 개최할 수 있는 공간입니다.</span></div><div style=''><span style='font-size: 18px;'><b>5. 서울라이트</b> :&nbsp;</span><span style='font-size: 18px;'>시민참여로 힐링과 위로의 디자인 감성을 담다</span></div><div style=''><span style='font-size: 18px;'>서울을 대표하는 건축물인 동대문디자인플라자(DDP)는 평소에는 은빛으로 자신만의 컬러로 존재감을 드러내지만 밤이 되면 굴곡진 은빛 표면이 캔버스가 됩니다. 압도적인 규모와 눈을 뗄 수 없는 역동성이 가득한 ‘서울라이트’는 지금 우리나라를 넘어 세계의 눈을 사로잡고 있습니다. DDP가 서울의 문화자산으로 성장하고 동대문을 중심으로 지역 경제와 경제 활성화에 기여하고 있습니다.</span></div><div style=''><span style='font-size: 18px;'><br></span></div><div style=''><span style='font-size: 18px;'>&nbsp;</span></div><div style='font-size: 18px; font-weight: 300;'><br></div></div>","무료","","동대문역사문화공원, 광희동, 을지로 6가 국립중앙의료원","","","N13, 105,152,301,N13,N16,N30,105,144,261,301,407,420","",""
"2","공연장","우란2경","서울특별시 성동구 연무장7길 11 2층","성동구","37.5437897702564","127.054416929987","070-4244-3812","","https://www.wooranfdn.org/about/space.jsp","","프로그램별 상이","공연에 따라 다름","","","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=d715fcc0463c4991a77ff3127836fb39&thumb=Y","","<div><span style='font-size: 12pt;'>비움으로 완성한 채움의 공간</span></div><div><span style='font-size: 12pt;'>볕 경, 그림자 영으로 불리는 한자어 ‘景’에는 사물을 조화롭게 비추는 ‘빛’과 그 빛이 만들어낸 ‘그림자’, 그리고 그들이 함께 어우러지는 ‘풍경’이라는 의미가 모두 담겨져 있습니다.</span></div><div><span style='font-size: 12pt;'>우란문화재단은 각 공간명에 공간의 특성을 지우고 ‘경景’이라는 명칭을 사용하여 선입견 없이 각 공간에서 자유롭게 펼쳐질 예술적 풍경에 대한 기대감을 담았습니다.</span></div><div><span style='font-size: 12pt;'><br></span></div><div><span style='font-size: 12pt;'>1층에서 3층까지 각 층에 위치한 우란문화재단의 주요 공간은 각각 우란1경, 우란2경, 우란3경, 우란4경, 우란5경으로 불리게 됩니다. 객석과 무대의 경계를 허물고, 전시와 공연이라는 기능마저 최소화한 이 ‘무제의 공간’은 매번 새롭게 해석되며, 무한한 가능성의 공간으로 거듭납니다.</span></div><div><span style='font-size: 12pt;'><br></span></div><div><span style='font-size: 12pt;'>우란문화재단 2층에 위치한 우란2경은 무대와 객석이 고정되지 않아 자유로운 구획이 가능한 공간입니다.&nbsp; (대관불가)</span></div>","유료","","","","","","",""
"3","도서관","구립은평뉴타운도서관","서울특별시 은평구 진관2로 111-51","은평구","37.63723039689538","126.93311834754995","(02) 6341-6400","","http://www.enlib.or.kr/","","","매주 금요일과 법정공휴일","","","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101433&thumb=Y","","<div><span style='font-size: 14pt;'>은평구 진관동에 위치한 은평뉴타운도서관은 정보의 원활한 접근과 맞춤서비스, 평생교육, 창의적 독서 환경 제공 등 지역 주민 누구나 소통하고 정보를 나눌 수 있는 공간이자 시대의 변화에 발맞추어 새롭게 등장하는 미디어 정보를 제공하고 주민들의 퍼블릭 액세스를 실현하기 위한 도서관과 미디어센터가 결합한 복합 문화공간 기능을 수행하고 있습니다.</span></div><div><span style='font-size: 12px;'><br></span></div><div><span style='font-size: 14pt;'>&nbsp;개관연장사업을 통한 야간독서문화프로그램, 학교 연계 독서진흥사업, 1사서 1동아리, ‘미디어 리터러시 교육’, 지역주민들이 직접 만들어나가는 라디오 팟캐스트 은평FM, 새로운 형태의 북큐레이션 대책있는 사서들, 시니어 대상 콘텐츠 제작 교육 지원, 웹툰창작체험 교육, 어린이 꾸러기 기자단 등 어린이/ 청소년들에게는 전문교육을 통한 인재양성과 성인, 노인 및 정보소외계층에는 역량 강화를 통한 지역 커뮤니티 활성화를 위해 앞장서 나가고 있습니다.</span></div>","무료","","","","(지선) 7211, (지선) 7723","","",""
"4","공연장","씨어터쿰","서울특별시 종로구 창경궁로 253-7","종로구","37.5844227357062","126.999528450321","02-6085-0015","","https://www.daehakroticket.com/ticket.do?command=hall_view&tht_code=20200304001","","","없음","","","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=43deea57057a4674bf968f5c10e0b29c&thumb=Y","","<p style='text-align: center; ' align='center'><span style='font-size: 14pt;'>연극, 뮤지컬, 다양한 창작활동을 위한 공연장입니다.</span><br></p>","무료","12","13","15","16","17","18","14"
"5","문화예술회관","노원문화예술회관","서울 노원구 중계로 181 노원문화예술회관","노원구","37.6502368524442","127.080267103033","02-2289-3425","","https://www.nowonarts.kr/","","행사별 상이","행사 일정에 따름","","","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101437&thumb=Y","","<div style='text-align: center;' align='center'><span style='font-size: 14pt;'>노원문화예술회관은 중계로 181 불암초등학교 맞은편에 위치하고 있으며 지상 6층, 지하 3층, 연면적 13,167㎡(3,983평) 규모에 608석(일반 600석, 장애인석 8석)의</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>대공연장, 288석(일반석 284석, 장애인석 4석)의 소공연장, 스카이라운지, 전시실, 다목적실, 잔디광장의 야외무대, 기타 공연부대시설 등을 갖춘 서울 동북부 최고의 문화예술공간입니다.</span></div>","유료","4호선 상계역 : 4번 출구 - 1143번, 1140번 버스(노원문화예술회관 하차) / 1142번, 1224번 버스(은행사거리 하차 후 도보)","","","","","",""
"6","공연장","동숭무대소극장","서울특별시 종로구 혜화로 35 지하 1층","종로구","37.58868965585108","126.99917120271677","0507-1360-2695","","https://cafe.naver.com/dsstage","","프로그램별 상이","홈페이지 참조","","","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101449&thumb=Y","","<p><span style='font-size: 12pt;'>동숭무대 소극장</span></p>","유료","","","","","","",""
"7","기타","금천예술공장","서울특별시 금천구 범안로15길 57","금천구","37.4688247596721","126.891928199853","02-807-4747","","http://www.sfac.or.kr/artspace/artspace/geumcheon_main.do","","","없음","","","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=92236b8c63104b78b94c36c1352df569&thumb=Y","","<p><span style='font-size: 14pt;'>금천예술공장은 2009년 인쇄공장을 리모델링하여 조성된 시각예술 전문 국제 레지던시 공간으로, 실험적인 예술을 장려하며 예술의 다양한 가치를 존중합니다. 매해 입주작가 공모를 통해 실험적이고 새로운 작업을 실현하는 시각예술가를 선발하여 레지던시 프로그램을 운영, 지원하고 있습니다. 또한 입주작가 기획전시, 오픈스튜디오, 워크숍 등의 프로그램을 진행하며 예술가, 미술 관계자, 시민이 함께 입주작가들의 작품과 작업 공간을 접할 수 있는 문화의 장을 만들고자 합니다</span></p><p><span style='font-size: 14pt;'><br></span></p><p><span style='font-size: 18.6667px;'>[시설현황]</span></p><p><span style='font-size: 18.6667px;'>- 규모 : 지하 1층~ 지상 3층, 창고동(대형 작업공간)</span></p><p><span style='font-size: 18.6667px;'>- 면적 : 2,358㎡ (714평) / 연면적 : 3,070㎡(930평)</span></p><p></p><p><span style='font-size: 18.6667px;'>- 구성 : 스튜디오 19실, 호스텔 5실, 대형 전시장, 미디어랩, 워크숍룸, 창고동, 남녀샤워장, 세탁실 외</span></p>","무료","","","","","","",""
"8","박물관/기념관","세종대왕기념관","서울특별시 동대문구 회기로 56","동대문구","37.5909928893989","127.042703170101","02-969-8851","","http://sejongkorea.org/main/main.html","09:00 ~ 18:00","어른 3000원 청소년, 유아 1500원","매주 주말 및 공휴일 ","","","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100154&thumb=Y","","<div style='text-align: center;' align='center'><span style='font-size: 14pt;'>고세종대왕의 성덕과 위업을 추모하고 보존하기 위해 1970년 세종대왕기념사업회에서 준공하였다.&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>전시관은 한글실, 과학실, 국악실, 일대기실로 구성된다.&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>한글실은 세종대왕 당시 펴낸 도서류를, 과학실은 과학 관계자료(금속활자 판자기, 수표측우기 등)를 전시하고 있으며,&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>국악실은 국악악기류를 전시하고 있다. 일대기실은 김학수선생께서 수년동안 그린 '세종대왕 일대기 그림' 14폭이&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>전시되어 있어 세종대왕의 치덕을 살펴 볼 수 있다.</span></div>","유료","","","","","","",""
"9","문화원","주한독일문화원","서울 용산구 소월로 132 독일문화원","용산구","37.5507131461622","126.982711486486","02-2021-2800","","http://www.goethe.de/ins/kr/seo/deindex.htm","09:00 ? 18:00","","매주 일요일, 공휴일","","","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=2a25dc3699c84f7193c39ee559238a32&thumb=Y","■ 기    타 : 도서관 월~금요일 13:00~18:00","<span style='font-size: 14pt;'>독일 문화원(괴테 인스티투트)는 해외에서의 독일어 보급과 지원, 국제 간의 문화교류 증진을 위한 공익 법인으로써 1959년 설립되었다. 독일 문화원의 주요 업무는 독일 문화를 한국에 널리 알리기 위한 음악, 영화, 미술, 문학, 춤, 학술 등 다양한 분야의 폭넓은 문화행사를 주관하고 후원하는 것이다. 도서관, 음악당, 어학강의실, 카페테리아 등 시설을 갖추고 있다. 독일유학상담도 할 수 있다.</span>","유료","","","","","","",""
"10","문화원","주한영국문화원","서울특별시 중구 서소문로11길 19","중구","37.5637878280982","126.972089131199","02-3702-0601","02 3702 0660","https://www.britishcouncil.kr/","","","공휴일","","","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=fb3b5669fc51483ca1662aa7c6e006a6&thumb=Y","","<span style='font-size: 14pt;'>영국문화원은 교육과 문화 교류를 위한 영국정부의 공식기관으로 1973년 개원하였으며, 오피스와 어학센터를 통하여 유학상담, 영어교육, 영국에 대한 각종 정보제공, 문화교류 등 다양한 서비스와 활동을 하고 있다. 특히 1999년 4월 엘리자베스 2세 영국여왕에 의하여 개관한 영국 센터는 영국에 관한 정보를 제공하는 원스톱 숍으로 영국에 관한 일반적인 정보를 비롯하여 영국의 교육, 시험, 관광, 비즈니스 등에 관한 다양한 참고 자료와 시설을 갖추고 있다.</span>","유료","","","","","","",""
